Participant_ID,Demographics_age,Demographics_class,Demographics_enroll,Demographics_college,Demographics_sex,Demographics_gender,Demographics_sexual,Demographics_ethnic,Demographics_polit,Demographics_policli,Demographics_lean,Demographics_relig,Demographics_rlgsty,Demographics_lang,Demographics_commute,Demographics_work,PWS_1,PWS_2,PWS_3,PWS_4,PWS_5,PWS_6,PWS_7,PWS_8,PWS_9,PWS_10,PWS_11,PWS_12,PWS_13,PWS_14,PWS_15,PWS_16,PWS_17,PWS_18,PWS_19,PWS_20,PWS_21,PWS_22,PWS_23,PWS_24,PWS_25,PWS_26,PWS_27,PWS_28,PWS_29,PWS_30,PWS_31,PWS_32,PWS_33,PWS_34,PWS_35,PWS_36,Psychological Wellness,Physical Wellness,Emotional Wellness,Spiritual Wellness,Social Wellness,Intellectual Wellness,PWB_1,PWB_2,PWB_3,PWB_4,PWB_5,PWB_6,PWB_7,PWB_8,PWB_9,PWB_10,PWB_11,PWB_12,PWB_13,PWB_14,PWB_15,PWB_16,PWB_17,PWB_18,Autonomy,Environmental Mastery,Personal Growth,Positive Relationships,Purpose in Life,Self-Acceptance,CD_RISC_1,CD_RISC_10,CD_RISC_11,CD_RISC_12,CD_RISC_13,CD_RISC_14,CD_RISC_15,CD_RISC_16,CD_RISC_17,CD_RISC_18,CD_RISC_19,CD_RISC_2,CD_RISC_20,CD_RISC_21,CD_RISC_22,CD_RISC_23,CD_RISC_24,CD_RISC_25,CD_RISC_3,CD_RISC_4,CD_RISC_5,CD_RISC_6,CD_RISC_7,CD_RISC_8,CD_RISC_9,Resilience,PERMAB1_1,PERMAB1_2,PERMAB1_3,PERMAB1_4,PERMAB1_5,PERMAB2_1,PERMAB3_1,PERMAB3_2,PERMAB3_3,PERMAB3_4,PERMAB3_5,PERMAB4_1,PERMAB5_1,PERMAB5_2,PERMAB5_3,PERMAB5_4,PERMAB5_5,PERMAB6_1,PERMAB7_1,PERMAB7_2,PERMAB7_3,PERMAB7_4,PERMAB8_1,Positive Emotion,Engagement,Relationships,Meaning,Accomplishment,Negative Emotion,PERMA Loneliness,Happiness (1 item),Health,Overall Well-Being,UCLA_1,UCLA_2,UCLA_3,UCLA_4,UCLA_5,UCLA_6,UCLA_7,UCLA_8,UCLA_9,UCLA_10,UCLA_11,UCLA_12,UCLA_13,UCLA_14,UCLA_15,UCLA_16,UCLA_17,UCLA_18,UCLA_19,UCLA_20,Loneliness,PSS_1,PSS_2,PSS_3,PSS_4,PSS_6,Screen_total,Screen_work,Screen_leisure,Screen_reduction,Screen_active,Screen_passive,PWS_1,PWS_2,PWS_3,PWS_4,PWS_5,PWS_6,PWS_7,PWS_8,PWS_9,PWS_10,PWS_11,PWS_12,PWS_13,PWS_14,PWS_15,PWS_16,PWS_17,PWS_18,PWS_19,PWS_20,PWS_21,PWS_22,PWS_23,PWS_24,PWS_25,PWS_26,PWS_27,PWS_28,PWS_29,PWS_30,PWS_31,PWS_32,PWS_33,PWS_34,PWS_35,PWS_36,Psychological Wellness,Physical Wellness,Emotional Wellness,Spiritual Wellness,Social Wellness,Intellectual Wellness,PWB_1,PWB_2,PWB_3,PWB_4,PWB_5,PWB_6,PWB_7,PWB_8,PWB_9,PWB_10,PWB_11,PWB_12,PWB_13,PWB_14,PWB_15,PWB_16,PWB_17,PWB_18,Autonomy,Environmental Mastery,Personal Growth,Positive Relationships,Purpose in Life,Self-Acceptance,CD_RISC_1,CD_RISC_10,CD_RISC_11,CD_RISC_12,CD_RISC_13,CD_RISC_14,CD_RISC_15,CD_RISC_16,CD_RISC_17,CD_RISC_18,CD_RISC_19,CD_RISC_2,CD_RISC_20,CD_RISC_21,CD_RISC_22,CD_RISC_23,CD_RISC_24,CD_RISC_25,CD_RISC_3,CD_RISC_4,CD_RISC_5,CD_RISC_6,CD_RISC_7,CD_RISC_8,CD_RISC_9,Resilience,PERMAB1_1,PERMAB1_2,PERMAB1_3,PERMAB1_4,PERMAB1_5,PERMAB2_1,PERMAB3_1,PERMAB3_2,PERMAB3_3,PERMAB3_4,PERMAB3_5,PERMAB4_1,PERMAB5_1,PERMAB5_2,PERMAB5_3,PERMAB5_4,PERMAB5_5,PERMAB6_1,PERMAB7_1,PERMAB7_2,PERMAB7_3,PERMAB7_4,PERMAB8_1,Positive Emotion,Engagement,Relationships,Meaning,Accomplishment,Negative Emotion,PERMA Loneliness,Happiness (1 item),Health,Overall Well-Being,UCLA_1,UCLA_2,UCLA_3,UCLA_4,UCLA_5,UCLA_6,UCLA_7,UCLA_8,UCLA_9,UCLA_10,UCLA_11,UCLA_12,UCLA_13,UCLA_14,UCLA_15,UCLA_16,UCLA_17,UCLA_18,UCLA_19,UCLA_20,Loneliness,PSS_1,PSS_2,PSS_3,PSS_4,PSS_6,Screen_total,Screen_work,Screen_leisure,Screen_reduction,Screen_active,Screen_passive,Psychological Wellness,Physical Wellness,Emotional Wellness,Spiritual Wellness,Social Wellness,Intellectual Wellness,Autonomy,Environmental Mastery,Personal Growth,Positive Relationships,Purpose in Life,Self-Acceptance,Resilience,Positive Emotion,Engagement,Relationships,Meaning,Accomplishment,Negative Emotion,PERMA Loneliness,Happiness (1 item),Health,Overall Well-Being
11,21,4,2,1,1,"2,5",10,2,2,,2,6,1,English,5,2,6,3,6,7,7,7,6,7,6,6,7,6,1,7,4,7,7,6,6,6,5,6,7,6,6,7,5,6,7,7,5,5,6,4,7,7,5,6,5.833333333,7,5.333333333,6.5,6,7,6,6,5,5,5,5,5,6,7,7,7,6,5,2,2,7,4.666666667,5.333333333,6.666666667,4.666666667,5.666666667,6,4,4,4,4,4,5,3,5,4,3,4,4,2,3,2,4,4,5,5,3,2,4,2,5,4,93,6,9,8,7,7,7,8,8,7,9,5,6,8,3,11,5,8,5,9,5,7,8,8,8,8.666666667,8,6.666666667,8,5,5,8,6,7.875,3,2,2,2,4,3,2,2,4,3,2,4,2,1,3,3,2,3,4,4,55,12am,10 minutes,9am,6 hours,3,4,4,2,4,,,7,3,5,7,7,7,6,6,6,7,7,7,1,7,6,7,7,7,6,7,5,7,7,7,6,7,3,7,7,7,6,5,6,6,7,7,5.333333333,6.833333333,5.833333333,7,5.166666667,7,7,7,6,7,7,3,2,7,7,7,7,7,7,2,4,5,6,7,5.666666667,7,5.333333333,5,5,7,5,5,4,4,4,4,2,4,5,3,5,5,1,5,5,4,4,4,1,4,5,5,5,5,3,101,8,10,11,3,9,10,11,9,11,11,5,10,11,1,11,2,10,11,10,10,9,11,11,11,10.33333333,9.333333333,10.66666667,9.333333333,2,5,11,10.33333333,10.1875,3,3,2,3,3,4,2,2,4,3,3,2,3,3,3,3,4,3,3,3,59,0.9375,10-15 minutes,0.2708333333,8 hours,1,4,2,3,4,2,4,0.3333333333,0.8333333333,0,0,-0.1666666667,0.5,1,1.666666667,-1.333333333,0.3333333333,-0.6666666667,1,8,3,1.666666667,1.333333333,4,1.333333333,-3,0,3,4.333333333,2.3125
12,23,4,4,3,2,3,13,2,2,,2,1,2,English,3,1,4,6,6,5,7,6,6,5,7,6,7,7,1,7,7,6,4,7,7,2,7,4,5,7,3,6,7,5,7,7,4,6,7,7,6,6,4.166666667,5.5,5.333333333,6,6.833333333,6.666666667,7,7,7,7,7,5,7,6,7,7,7,7,5,7,5,7,3,4,4,6.666666667,7,5.666666667,7,7,4,4,4,5,4,4,5,3,4,3,5,5,2,4,4,4,5,5,3,5,5,4,4,4,4,103,11,11,10,5,9,10,8,9,10,9,2,10,10,3,10,2,8,10,11,10,9,10,11,10,9.333333333,9.666666667,9.333333333,10,3.333333333,2,11,10,9.75,4,2,1,2,1,4,1,2,4,4,2,2,2,1,4,4,2,2,4,4,52,1:30 AM,less than 5 minutes,7:00 AM,about 6-7 hours,3,5,4,1,4,,,6,6,4,1,7,6,7,5,7,5,7,6,2,7,7,6,5,7,7,3,7,2,7,7,5,5,7,6,7,5,7,6,7,6,6,7,5.666666667,4.333333333,5.333333333,6.5,6.5,6.333333333,7,7,7,2,7,7,5,6,6,7,7,6,7,7,2,7,6,7,5,4.666666667,6.666666667,7,6.333333333,7,5,4,5,5,4,3,4,3,4,1,5,5,2,5,3,4,5,5,3,4,4,3,5,5,4,100,11,10,6,8,9,9,11,11,8,9,1,7,7,2,7,5,11,8,11,11,11,7,7,6.666666667,10,11,10,9,5,1,7,8,9.1875,3,1,1,1,4,3,2,3,3,4,2,1,2,1,4,4,4,1,4,4,52,0.08333333333,20 minutes,0.2708333333,3,4,5,3,3,5,2,4,1.5,-1.166666667,0,0.5,-0.3333333333,-0.3333333333,1,-2,-0.3333333333,1.333333333,-0.6666666667,0,-3,-3.333333333,0.6666666667,1.333333333,0.6666666667,-1,1.666666667,-1,-4,-2,-0.5625
13,20,3,2,3,2,"3,5",9,1,2,,3,1,4,English,2,2,6,3,7,6,5,6,5,6,7,6,7,6,3,6,6,6,3,5,7,6,7,6,6,4,7,5,6,6,6,5,6,4,6,6,4,6,5.666666667,6,5,5.166666667,6.5,5.333333333,6,6,5,3,6,5,5,6,6,7,6,7,7,6,3,7,2,3,2.666666667,5,6.333333333,6.333333333,5.666666667,6,4,3,4,4,4,3,4,4,3,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,5,98,8,7,9,4,7,9,8,6,8,8,3,8,9,3,8,7,9,9,8,8,7,7,7,8.333333333,8,7,8,7.666666667,4.666666667,3,7,8.666666667,7.75,4,3,2,2,4,4,2,2,4,4,3,2,2,2,3,4,3,3,4,4,61,11:00 PM,10 minutes,7:30 AM,8.25 hours,2,3,2,2,5,,,7,7,7,7,7,6,7,7,7,7,7,3,1,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,5.833333333,6.833333333,7,7,7,5.833333333,7,7,5,7,7,7,7,7,7,7,6,6,6,7,2,7,6,7,5,7,6.333333333,6.666666667,6.333333333,7,5,5,5,5,5,4,5,5,5,1,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,116,9,11,11,2,11,10,11,11,11,11,1,10,11,3,11,2,11,10,11,11,11,11,10,11,11,11,11,10.33333333,2.333333333,1,10,10,10.8125,4,1,1,1,3,3,2,1,3,4,2,1,1,1,4,4,2,1,4,4,47,0,15,0.3541666667,7.5,2,4,3,1,2,2,3,0.1666666667,0.8333333333,2,1.833333333,0.5,0.5,2.333333333,2,0,0.3333333333,0.6666666667,1,18,2.666666667,3,4,3,2.666666667,-2.333333333,-2,3,1.333333333,3.0625
14,21,4,2,3,1,2,9,4,3,,3,6,1,English,3,3,2,1,5,3,4,5,3,5,5,3,2,5,3,1,5,3,3,5,5,3,5,3,5,3,3,2,2,3,2,5,4,2,5,3,4,3,3.333333333,3,2.333333333,3.333333333,4.5,4.333333333,7,6,3,6,3,3,6,5,6,7,7,7,6,5,3,7,5,6,4.666666667,5.666666667,6.333333333,5.333333333,5.333333333,5.333333333,4,4,4,3,5,4,5,4,4,4,4,5,3,4,4,2,4,4,4,3,4,4,4,4,4,98,7,8,9,9,10,8,11,7,10,9,2,7,8,5,8,3,8,7,11,8,9,9,8,8.666666667,8.333333333,9,9.666666667,8.333333333,5.666666667,2,8,7.333333333,8.75,3,2,2,2,4,4,1,2,3,3,2,2,2,2,4,4,3,2,4,4,55,12:00 AM,30,7:30 AM,7,2,4,2,3,4,,,5,3,5,5,3,6,3,5,7,3,3,6,1,2,6,4,2,5,5,2,5,4,6,5,4,2,1,5,2,6,3,2,6,5,3,5,3.5,4.333333333,2.666666667,3.166666667,5,5.5,2,1,2,6,3,2,2,6,3,1,5,5,3,2,3,2,5,2,3.333333333,5,4,2.333333333,1.666666667,2,2,2,4,1,2,2,2,3,2,2,2,3,2,2,2,4,4,2,4,4,4,2,2,2,1,62,8,9,3,10,4,8,8,3,8,5,8,8,3,7,8,10,9,8,9,8,2,2,2,2.666666667,7.666666667,4.666666667,8,6.666666667,9,8,2,8,5.6875,3,3,4,3,3,2,3,3,2,2,3,4,4,3,3,1,3,2,3,3,57,0.9375,30-60 minutes,0.2916666667,7,2,4,3,2,4,2,4,0.1666666667,1.333333333,0.3333333333,-0.1666666667,0.5,1.166666667,-1.333333333,-0.6666666667,-2.333333333,-3,-3.666666667,-3.333333333,-36,-6,-0.6666666667,-4.333333333,-1.666666667,-1.666666667,3.333333333,6,-6,0.6666666667,-3.0625
15,20,3,2,3,2,3,9,2,5,,4,1,4,English,1,2,5,5,7,3,6,4,5,5,7,5,5,5,3,5,6,5,4,5,5,5,7,5,6,4,5,5,2,5,6,5,5,4,6,5,6,5,4.666666667,4.666666667,4.833333333,5.5,5.833333333,4.666666667,6,7,7,6,6,7,6,6,7,7,6,6,6,7,3,7,7,6,5.333333333,6.333333333,6.333333333,6.666666667,6.666666667,6.333333333,4,4,4,4,4,5,5,4,4,4,4,5,3,5,4,4,5,5,3,4,4,4,5,4,4,105,9,9,9,7,9,9,10,6,9,9,6,9,9,6,10,5,6,9,10,10,10,9,8,9,8,8.666666667,9.666666667,9.333333333,6,6,8,9,8.875,4,2,2,2,4,4,2,2,4,4,2,1,1,2,4,4,3,3,4,4,58,12AM,15,8AM,8,2,4,3,2,1,,,5,5,5,5,5,4,5,5,5,5,5,4,3,5,5,4,5,4,5,5,7,4,5,4,4,5,5,4,5,4,5,4,5,5,6,4,4.5,4.5,4.833333333,5.166666667,5.333333333,4,4,5,4,4,4,5,4,4,5,6,4,4,5,4,3,5,5,5,4.333333333,4.333333333,4,5,4.666666667,4.333333333,3,3,3,3,3,2,2,3,3,2,3,4,3,4,3,2,4,4,5,3,4,3,3,3,4,79,7,7,8,6,7,7,8,9,7,7,5,7,8,4,7,4,6,7,9,8,7,6,7,7.333333333,6.666666667,8.333333333,7.666666667,7,4.666666667,5,7,7,7.375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,60,12:00-2:00AM,20-30 minutes,6:30AM or 8:00AM,6-7 hours,3,5,4,1,4,3,3,-0.1666666667,-0.1666666667,0,-0.3333333333,-0.5,-0.6666666667,-1,-2,-2.333333333,-1.666666667,-2,-2,-26,-1.666666667,-1.333333333,-0.3333333333,-2,-2.333333333,-1.333333333,-1,-1,-2,-1.5
16,21,4,1,3,2,3,11,7,4,,8,1,3,Spanish,4,3,6,6,6,3,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,5.333333333,5.5,6,6,6,5.666666667,6,6,6,3,4,6,7,6,6,6,6,6,6,6,3,6,6,6,5,5,6,6,6.333333333,5.333333333,4,4,4,4,4,4,4,3,4,2,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,96,8,8,9,8,7,8,9,11,8,9,3,9,9,6,9,6,9,10,11,9,11,9,9,9,8.666666667,11,8.666666667,8,6.666666667,3,9,9,9.0625,4,2,2,2,4,4,2,2,4,4,2,2,2,2,4,4,3,2,4,4,59,1:00 AM,30,07:00AM,5,2,4,4,1,4,,,5,7,6,3,6,6,7,6,6,6,7,6,1,7,6,5,6,6,5,7,6,6,6,6,6,6,5,5,7,4,6,2,6,6,6,6,5,5.166666667,5.833333333,6.333333333,5.833333333,5.666666667,6,6,6,7,7,6,5,6,6,6,7,6,6,6,6,6,6,6,6,6.333333333,6.333333333,6,5.666666667,6.333333333,4,5,4,5,5,4,4,5,5,4,5,5,4,5,4,5,5,5,4,4,5,4,5,5,4,114,10,3,9,6,10,9,10,9,10,10,4,9,9,3,10,3,9,9,10,9,10,10,10,9.333333333,7.333333333,9.666666667,9.666666667,10,4,4,10,9,9.25,4,2,2,2,4,4,1,2,4,4,2,1,1,1,4,4,3,2,4,4,55,11.00PM,15 minutes,7.15AM,7 hours,2,2,2,1,2,3,3,-0.3333333333,-0.3333333333,-0.1666666667,0.3333333333,-0.1666666667,0,1,1.333333333,0.3333333333,0,-0.6666666667,1,18,0.3333333333,-1.333333333,-1.333333333,1,2,-2.666666667,1,1,0,0.1875
17,20,3,2,3,2,3,9,3,2,,3,1,4,Spanish,1,3,5,6,6,2,6,3,5,5,6,3,6,5,2,6,6,5,6,6,6,6,5,5,5,6,5,7,5,5,1,6,6,5,6,5,5,6,4.833333333,4.166666667,5.833333333,4.833333333,5.666666667,5.333333333,7,6,6,6,3,6,6,7,6,6,7,7,7,7,3,6,6,5,4.666666667,6.333333333,7,6.333333333,6,5.333333333,5,4,4,3,4,4,3,4,5,4,4,5,2,4,5,4,4,4,3,5,4,4,5,4,5,102,9,8,8,4,10,8,9,9,9,10,4,8,10,3,11,4,8,7,10,8,9,9,9,9,8.666666667,9.333333333,8.666666667,10,3.666666667,4,9,7.666666667,9.125,4,3,2,2,3,4,1,1,3,4,2,2,1,1,3,4,3,2,4,4,53,11:30 PM,15,8:30 AM,8.5,2,4,2,2,4,,,4,5,1,2,6,5,5,3,3,3,5,3,6,5,6,3,5,5,5,2,5,3,3,7,3,6,2,3,2,5,2,5,6,4,4,5,4.166666667,3,4.333333333,4.166666667,3.833333333,5,7,5,3,2,2,2,3,5,5,3,5,6,5,5,5,5,6,6,5.666666667,4,5.333333333,4,3,4.666666667,4,4,4,3,2,2,2,2,2,2,3,4,4,4,2,2,4,4,5,2,2,4,2,2,4,75,4,6,7,7,5,7,8,7,8,8,7,4,8,4,5,6,10,4,8,8,7,8,8,7.666666667,8,7.333333333,8,4.666666667,5.666666667,7,8,5,7.1875,4,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,4,4,3,3,57,12:00PM,10,0.375,10,1,5,2,3,5,4,4,-0.6666666667,-1.166666667,-1.5,-0.6666666667,-1.833333333,-0.3333333333,1,-2.333333333,-1.666666667,-2.333333333,-3,-0.6666666667,-27,-1.333333333,-0.6666666667,-2,-0.6666666667,-5.333333333,2,3,-1,-2.666666667,-1.9375
18,21,4,"3,4",3,1,2,9,1,1,,6,1,4,English ,1,3,6,6,3,5,7,6,2,6,7,6,7,6,1,7,6,7,6,6,1,7,7,7,7,5,4,7,2,6,7,6,6,5,3,4,7,7,3.333333333,5.833333333,6.333333333,6.833333333,4.666666667,6,6,5,5,5,6,3,3,3,5,2,5,6,3,3,7,6,7,7,7,4.333333333,4.666666667,4,3.333333333,5.666666667,4,2,2,3,4,2,4,2,4,2,4,5,2,3,4,4,4,4,4,4,4,2,2,4,4,83,8,8,8,11,9,8,7,8,9,9,3,9,8,9,7,9,11,9,11,7,10,9,7,8.333333333,9.333333333,9.666666667,7.666666667,8,9.666666667,3,7,8.666666667,8.5,4,2,2,2,4,4,2,2,3,3,1,2,2,3,4,4,4,2,4,4,58,11:00PM,15 minutes,8:00AM,9 hours,1,4,3,3,2,,,6,6,6,3,7,7,5,7,6,6,7,6,2,7,6,7,6,6,2,7,7,7,7,6,4,7,3,6,7,7,4,2,4,7,5,6,3.833333333,6,6,6.5,5.333333333,6.333333333,7,6,7,7,6,3,7,6,7,7,7,7,2,7,6,7,6,7,6.333333333,6.666666667,7,4,7,6.333333333,5,5,5,5,5,4,4,5,5,4,5,5,2,5,4,4,5,4,5,5,3,4,5,5,1,109,10,10,8,2,10,11,10,9,11,10,2,10,9,7,10,6,11,11,11,11,10,9,9,8.666666667,10.33333333,10,10.66666667,10,5,2,9,10.66666667,9.875,3,2,1,1,3,3,1,3,3,3,1,1,1,2,4,4,1,3,4,4,48,0.9583333333,10 minutes,0.3541666667,7.5 hours,2,3,2,1,2,3,3,0.5,0.1666666667,-0.3333333333,-0.3333333333,0.6666666667,0.3333333333,-0.6666666667,2.333333333,2.333333333,0,3.666666667,0.6666666667,26,0.3333333333,1,0.3333333333,3,2,-4.666666667,-1,2,2,1.375
19,21,4,2,3,2,"3,5",12,4,2,,2,6,2,English,2,2,4,3,1,3,3,4,2,3,2,4,2,6,2,2,7,2,2,3,6,2,1,2,2,3,2,2,2,3,2,5,5,4,5,4,2,3,3.5,3,2.666666667,2.166666667,3,4,3,2,4,1,1,3,7,5,6,2,5,5,5,3,3,3,3,4,3.333333333,4,4.333333333,3.666666667,4.333333333,2,3,5,3,2,4,2,3,2,4,3,3,5,4,3,2,2,5,4,1,4,2,1,5,4,4,80,4,8,5,11,7,4,5,7,5,8,6,2,4,8,11,10,11,5,5,6,8,4,5,4.333333333,9,6.666666667,5.333333333,7.333333333,9.666666667,6,5,3.666666667,6.4375,4,2,1,3,4,3,4,3,3,3,2,3,4,3,2,4,3,3,4,4,62,4:00 AM,30 minutes,7:30 AM,2 hours,4,4,3,2,2,,,3,3,2,2,4,4,2,4,2,3,4,5,3,3,6,2,2,5,6,3,3,2,3,5,2,3,3,2,2,5,4,4,6,4,2,2,3.333333333,2.5,3.333333333,2.833333333,3.666666667,4.333333333,4,3,3,3,2,6,3,3,4,2,7,7,7,2,3,2,4,5,4,3.333333333,5.333333333,5,2.666666667,3,4,3,4,3,3,4,3,3,4,4,2,5,3,2,3,2,4,2,3,3,2,4,4,4,4,82,7,4,9,9,4,6,5,9,5,7,6,4,6,5,8,7,9,4,7,6,9,8,6,7.666666667,6.666666667,8.333333333,5.333333333,6.333333333,7,6,6,4.666666667,6.8125,3,1,1,3,4,3,2,4,4,4,2,1,3,3,4,2,3,3,4,4,58,0,30 minutes,0.375,45846,2,4,2,2,2,4,4,-0.1666666667,-0.5,0.6666666667,0.6666666667,0.6666666667,0.3333333333,0.6666666667,-0.6666666667,1,1.333333333,-1.666666667,1,2,3.333333333,-2.333333333,1.666666667,0,-1,-2.666666667,0,1,1,0.375
20,20,3,2,3,2,3,9,2,2,,2,6,2,English,1,3,6,3,7,6,6,5,3,5,7,5,6,5,1,3,6,5,3,5,7,2,7,5,6,5,1,6,3,6,1,5,5,2,6,7,5,3,3.833333333,5.666666667,3.5,4.5,6,4.666666667,5,4,3,2,2,4,6,6,5,7,6,6,6,4,4,6,4,5,4.333333333,4.333333333,5.333333333,5.333333333,5.333333333,3.666666667,4,4,3,3,3,3,2,2,4,3,3,4,2,2,3,2,4,3,2,4,4,4,3,3,3,77,5,6,6,10,6,7,6,6,6,6,8,4,6,7,8,6,8,6,6,5,6,6,6,6,6.666666667,6,5.666666667,6.333333333,7.666666667,8,6,5.666666667,6.125,3,3,3,4,3,3,4,4,3,3,3,3,4,4,3,2,3,3,3,3,64,11:30 PM,30,6:50 AM,7,2,3,3,1,4,,,3,3,6,7,6,2,5,5,7,5,6,6,2,6,2,4,1,5,2,5,7,4,6,4,2,5,2,6,3,5,6,3,1,7,3,3,3.333333333,5.5,4.5,4.166666667,4.166666667,4.166666667,5,4,6,5,5,2,7,3,5,7,6,6,3,5,7,3,7,5,6.333333333,4.333333333,5.666666667,2.666666667,6.666666667,4.666666667,4,4,3,3,4,4,4,2,3,4,3,4,4,4,3,3,4,4,3,3,3,4,3,3,4,87,6,6,5,9,8,8,8,7,7,7,11,6,5,7,9,8,8,6,6,9,6,5,6,5,7,6.333333333,8,7.666666667,8,11,6,6.666666667,6.75,2,4,4,4,1,2,4,4,2,2,4,3,4,4,2,2,4,4,3,3,62,0.08333333333,15,0.3125,5,2,5,3,3,3,3,4,-0.5,-0.1666666667,1,-0.3333333333,-1.833333333,-0.5,2,0,0.3333333333,-2.666666667,1.333333333,1,10,-1,0.3333333333,0.3333333333,2.333333333,1.333333333,0.3333333333,3,0,1,0.625
21,20,3,2,3,2,3,"9,13",1,2,,3,6,1,English,1,2,6,1,6,3,7,6,6,6,7,6,7,6,1,6,7,3,6,5,6,6,7,1,6,5,5,6,1,5,3,7,6,5,6,6,5,6,5,4,5,5.666666667,5.666666667,5.833333333,3,3,3,3,3,2,2,6,6,2,3,6,4,3,2,6,5,4,3.666666667,5,4,4,2.333333333,3,3,3,2,3,4,2,4,2,4,4,2,4,4,2,2,4,3,3,1,3,4,2,4,4,4,77,4,5,4,11,4,8,4,7,4,3,8,8,8,6,6,6,4,6,6,6,8,7,6,6.333333333,4,7,4.666666667,4.666666667,7.666666667,8,6,7.333333333,5.375,3,3,3,4,4,2,3,3,2,4,3,3,3,4,3,4,3,4,3,3,64,11:00 PM,20,8:00 AM,8,2,5,3,3,5,,,6,2,6,6,6,6,6,6,6,6,7,6,2,7,6,5,6,5,5,6,5,2,6,5,5,6,2,6,2,7,7,3,6,6,5,6,5.166666667,5.166666667,5,5.333333333,5.166666667,5.833333333,7,7,7,6,7,6,6,6,6,7,7,7,7,7,3,6,6,6,5,6,7,6.333333333,6.666666667,7,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,4,5,4,5,4,4,4,5,4,5,105,7,7,7,7,7,8,7,7,8,9,4,6,8,3,8,5,9,7,8,7,7,7,7,7.333333333,8.333333333,7.333333333,7.333333333,7.333333333,5,4,7,7,7.5,4,3,3,2,4,4,3,1,3,4,2,3,2,2,4,4,3,3,4,4,62,0.04166666667,10 minutes,0.3125,6 hours,4,4,2,3,4,3,4,0.1666666667,1.166666667,0,-0.3333333333,-0.5,0,1.333333333,1,3,2.333333333,4.333333333,4,28,1,4.333333333,0.3333333333,2.666666667,2.666666667,-2.666666667,-4,1,-0.3333333333,2.125
22,22,4,2,3,2,3,9,1,1,,8,1,4,English,1,3,5,1,2,4,7,4,5,5,6,5,7,2,6,5,7,3,6,4,6,2,7,3,4,5,6,5,3,3,2,6,3,6,7,4,5,5,5.166666667,3.666666667,4,5.166666667,5.333333333,4.333333333,6,7,6,6,7,7,3,5,7,7,7,7,6,6,4,7,6,6,5.333333333,6,6.666666667,6.666666667,5.333333333,6.666666667,5,4,4,4,4,4,4,4,4,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,5,101,9,8,10,7,7,10,11,11,10,10,1,10,10,2,11,2,9,10,11,9,11,9,10,9.666666667,9,11,10,9,3.666666667,1,10,10,9.75,4,1,1,1,4,4,1,1,4,4,2,1,1,1,4,4,2,2,4,4,50,12:00 AM,10,7:20 AM,7 hours,2,5,5,1,4,,,5,2,5,5,7,5,5,6,7,6,7,2,5,6,7,5,5,5,6,3,7,5,7,5,5,7,4,5,5,6,6,6,7,3,7,6,5.333333333,4.833333333,5,6.333333333,6.166666667,4.833333333,7,7,3,6,6,7,2,6,4,7,7,7,7,6,2,7,7,6,5,5.333333333,6.666666667,7,4,6.666666667,4,3,4,4,5,4,3,3,4,3,5,5,2,5,4,4,3,5,5,4,5,5,5,4,5,103,8,10,10,3,7,8,10,11,9,10,3,5,10,1,8,4,10,7,11,10,10,11,10,10.33333333,10,10.66666667,9.666666667,7.666666667,2.666666667,3,10,6.666666667,9.6875,4,1,2,1,4,4,1,2,4,4,1,2,2,1,4,4,2,1,4,4,52,12:30AM,5,07:00AM,5,1,4,2,3,3,3,4,0.1666666667,1.166666667,1,1.166666667,0.8333333333,0.5,-0.3333333333,-0.6666666667,0,0.3333333333,-1.333333333,0,2,0.6666666667,1,-0.3333333333,-0.3333333333,-1.333333333,-1,2,0,-3.333333333,-0.0625
